cluster_num,census_tracts
0,"37001020100,37001020200,37001020501,37001020802,37001021206,37001021702,37001020300,37001020400,37001020502,37001020601,37001020602,37001020701,37001020702,37001020801,37001020901,37001020902,37001021000,37001021101,37001021102,37001021201,37001021204,37001021205,37001021207,37001021300,37001021400,37001021500,37001021600,37001021701,37001021703,37001021801,37001021802,37001021803,37001021901,37001022001,37001022002,37081015100,37081015200,37033930200,37033930300,37033930400,37033930500,37033930600,37135010801,37135011101"
1,"37119000100,37119000600,37119001300,37119001507,37119001605,37119001608,37119001802,37119001915,37119001920,37119005307,37119005604,37119005612,37119005619,37119005716,37119000700,37119000800,37119000900,37119001000,37119001100,37119001200,37119001400,37119001504,37119001505,37119001508,37119001509,37119001510,37119001603,37119001606,37119001607,37119001609,37119001701,37119001702,37119001801,37119001910,37119001911,37119001912,37119001914,37119001916,37119001917,37119001918,37119001919,37119001921,37119001922,37119001923,37119002100,37119002300,37119002400,37119002500,37119005200,37119005301,37119005305,37119005306,37119005308,37119005613,37119005614,37119005615,37119005616,37119005617,37119005618,37119005620,37119005706,37119005709,37119005710,37119005711,37119005713,37119005714,37119005717,37119005605,37119005609,37119005610"
2,"37183054109,37183054403,37069060802,37069060700,37069060801,37101040201,37101040202,37101040203,37127011400,37127011500,37183054108,37183054111,37183054112,37183054115,37183054301,37183054302,37183054402,37183054404"
3,"37111970100,37011930301,37011930302,37011930400,37021003102,37111970300,37111970400,37111970500,37111970600,37111970700,37111970800,37111970901,37111970902,37199960101,37199960102,37199960200,37199960300,37199960400,37111970200,37121950200,37121950300,37121950400,37121950100"
4,"37019020102,37019020103,37019020304,37129010900,37129012006,37129012103,37019020602,37019020104,37019020201,37019020202,37019020203,37019020204,37019020305,37019020306,37019020307,37019020310,37047930100,37129010600,37129010700,37129010800,37129011000,37129011100,37129011200,37129011300,37129011800,37129012004,37129012007,37129012008,37129012009,37129012010,37129012101,37129012104,37129012105,37129012201,37129012202,37129012203,37129990100"
5,"37183053004,37183053408,37183053415,37183053422,37183053507,37183053524,37183053605,37037020701,37037020702,37183053003,37183053005,37183053405,37183053409,37183053410,37183053411,37183053412,37183053413,37183053414,37183053416,37183053417,37183053418,37183053419,37183053420,37183053423,37183053424,37183053425,37183053505,37183053506,37183053509,37183053518,37183053519,37183053523,37183053525,37183053601,37183053602,37183053603,37183053604,37183053606,37183053607"
6,"37067000100,37067000200,37067000700,37067002002,37067002903,37067003107,37067003310,37067003403,37067003702,37057060102,37057060201,37057060202,37057060203,37057060301,37057060302,37057060303,37057060304,37057060400,37067002904,37067003002,37067003003,37067003004,37067003103,37067003105,37067003106,37067003108,37067003201,37067003202,37067003307,37067000301,37067000302,37067000400,37067000500,37067000600,37067000801,37067000802,37067000900,37067001000,37067001100,37067001500,37067001601,37067001602,37067001700,37067001901,37067001902,37067002001,37067003308,37067003309,37067003311,37067003312,37067003315,37067003402,37067003404,37067003500,37067003600,37067003701,37067003703,37067003803,37067001800"
7,"37133000103,37133000600,37133001400,37133001500,37133002202,37061090600,37103920200,37133000102,37133000201,37133000202,37133000301,37133000302,37133000401,37133000402,37133000403,37133000500,37133000700,37133000800,37133000900,37133001000,37133001101,37133001102,37133001200,37133001300,37133001700,37133001800,37133002100,37133002201,37133002300,37133002400,37133002500,37133002600,37133002800,37133990100"
8,"37053110102,37055970200,37055970502,37139960100,37139960300,37055970601,37055970602,37055990100,37055990200,37053110101,37053110200,37053110301,37053110302,37053110401,37053110402,37053990100,37055970101,37055970102,37055970300,37055970400,37055970501,37029950101,37029950102,37139960200,37139960400,37139960501,37139960502,37139960600,37139960701,37139960702,37177960100"
9,"37003040700,37035010102,37035010304,37035010700,37035011402,37003040100,37003040200,37003040300,37003040400,37003040500,37003040600,37023021100,37027031300,37109070600,37109070700,37109070800,37109070901,37035010101,37035010201,37035010202,37035010301,37035010302,37035010303,37035010401,37035010402,37035010502,37035010600,37035010900,37035011000,37035011101,37035011102,37035011200,37035011300,37035011401,37035011601,37035010501,37035011602,37035011701,37035011702,37035011801,37035011802"
10,"37051003103,37051003302,37051003311,37051000600,37051001800,37051002002,37093970300,37155960402,37051003001,37051003002,37051003102,37051003104,37051003201,37051003203,37051003204,37051003205,37051003305,37051003307,37051003309,37051003310,37051003312,37051003313,37051003314,37051980100,37093970101,37093970102,37093970103,37093970401,37093970402,37093980100,37051000500,37051001500,37051001601,37051001603,37051001604,37051001700,37051001901,37051001902,37051001903,37051002001,37155960101,37155960102,37155960201,37155960202,37155960300,37155960401,37155962001"
11,"37013930300,37013930400,37117970100,37117970400,37117970500,37147000201,37147000602,37147000702,37013930100,37013930200,37013930501,37013930502,37013930600,37013930700,37013930900,37013931000,37117970200,37117970300,37117970600,37147000100,37147000202,37147000301,37147000302,37147000400,37147000501,37147000502,37147000601,37147000701,37147000800,37147000900,37147001001,37147001002,37147001003,37147001100,37147001303,37147002001,37147002002"
12,"37115010200,37087920300,37021002401,37021002402,37021002503,37021002504,37021002603,37087920102,37087920200,37087920400,37087920500,37087920600,37087920700,37087920800,37087920900,37087921000,37087921100,37087921200,37087921301,37087921302,37087980100,37089980100,37087920101"
13,"37157040602,37157041400,37157040700,37157040800,37157040900,37157041001,37157041002,37157041100,37157041200,37157041300,37157041500,37157041601,37157041602,37081015600,37081015704,37081015706,37081015800,37081015901,37081015902,37081016003,37081016005,37157040400,37157040501,37157040502,37157040601,37169070100,37169070700,37157040101,37157040102,37157040200,37157040300"
